"Name","DisplayName","StartMode","State","PathName","Description","StartName","ServiceType"
"DiagTrack","Connected User Experiences and Telemetry","Auto","Running","C:\WINDOWS\System32\svchost.exe -k utcsvc -p","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.","LocalSystem","Own Process"
"DispBrokerDesktopSvc","Display Policy Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manages the connection and configuration of local and remote displays","NT AUTHORITY\LocalService","Share Process"
"DisplayEnhancementService","DisplayEnhancementService","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p",,"LocalSystem","Share Process"
"DmEnrollmentSvc","Device Management Enrollment Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Performs Device Enrollment Activities for Device Management","LocalSystem","Own Process"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Routes Wireless Application Protocol (WAP) Push messages received by the device and synchronizes Device Management sessions","LocalSystem","Share Process"
"Dnscache","DNS Client","Auto","Running","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","The DNS Client service (dnscache) sends Domain Name System (DNS) queries, caches query results, and registers the computer's full name on the network. This service is not stoppable.","NT AUTHORITY\NetworkService","Own Process"
"DoSvc","Delivery Optimization","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Performs content delivery optimization tasks","NT Authority\NetworkService","Own Process"
"dot3svc","Wired AutoConfig","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","The Wired AutoConfig (DOT3SVC) service is responsible for performing IEEE 802.1X authentication on Ethernet interfaces. If your current wired network deployment enforces 802.1X authentication, the DOT3SVC service should be configured to run for establishing Layer 2 connectivity and/or providing access to network resources. Wired networks that do not enforce 802.1X authentication are unaffected by the DOT3SVC service.","localSystem","Share Process"
"DPS","Diagnostic Policy Service","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function.","NT AUTHORITY\LocalService","Share Process"
"DsmSvc","Device Setup Manager","Manual","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Enables the detection, download and installation of device-related software. If this service is disabled, devices may be configured with outdated software, and may not work correctly.","LocalSystem","Share Process"
"DsSvc","Data Sharing Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides data brokering between applications.","LocalSystem","Share Process"
"EapHost","Extensible Authentication Protocol","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","The Extensible Authentication Protocol (EAP) service provides network authentication in such scenarios as 802.1x wired and wireless, VPN, and Network Access Protection (NAP).  EAP also provides application programming interfaces (APIs) that are used by network access clients, including wireless and VPN clients, during the authentication process.  If you disable this service, this computer is prevented from accessing networks that require EAP authentication.","localSystem","Share Process"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Auto","Stopped","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc","Keeps your Microsoft software up to date. If this service is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Microsoft software using it.","LocalSystem","Own Process"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Manual","Stopped","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc","Keeps your Microsoft software up to date. If this service is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Microsoft software using it.","LocalSystem","Own Process"
"EFS","Encrypting File System (EFS)","Manual","Stopped","C:\WINDOWS\System32\lsass.exe","Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files.","LocalSystem","Share Process"
"embeddedmode","Embedded Mode","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","The Embedded Mode service enables scenarios related to Background Applications.  Disabling this service will prevent Background Applications from being activated.","LocalSystem","Share Process"
"EntAppSvc","Enterprise App Management Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Enables enterprise application management.","LocalSystem","Share Process"
"EventLog","Windows Event Log","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.","NT AUTHORITY\LocalService","Share Process"
"EventSystem","COM+ Event System","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"fdPHost","Function Discovery Provider Host","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services ? Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources.","NT AUTHORITY\LocalService","Share Process"
"FDResPub","Function Discovery Resource Publication","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network.","NT AUTHORITY\LocalService","Share Process"
"FontCache","Windows Font Cache Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance.","NT AUTHORITY\LocalService","Share Process"
"FrameServer","Windows Camera Frame Server","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k Camera","Enables multiple clients to access video frames from camera devices.","NT AUTHORITY\LocalService","Share Process"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k CameraMonitor","Monitors the health and state for the Windows Camera Frame Server service.","LocalSystem","Own Process"
"GameInputSvc","GameInput Service","Manual","Stopped","C:\WINDOWS\System32\GameInputSvc.exe","Enables keyboards, mice, gamepads, and other input devices to be used with the GameInput API.","LocalSystem","Own Process"
"gpsvc","Group Policy Client","Auto","Running","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup","The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled, the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is disabled.","LocalSystem","Own Process"
"GraphicsPerfSvc","GraphicsPerfSvc","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k GraphicsPerfSvcGroup","Graphics performance monitor service","LocalSystem","Share Process"
"hidserv","Human Interface Device Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running.","LocalSystem","Share Process"
"HvHost","HV Host Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides an interface for the Hyper-V hypervisor to provide per-partition performance counters to the host operating system.","LocalSystem","Share Process"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exchange with peer computers. IPsec is typically configured to use IKE or AuthIP; therefore, stopping or disabling the IKEEXT service might result in an IPsec failure and might compromise the security of the system. It is strongly recommended that you have the IKEEXT service running.","LocalSystem","Share Process"
"InstallService","Microsoft Store Install Service","Manual","Running","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then installations will not function properly.","LocalSystem","Own Process"
"InventorySvc","Inventory and Compatibility Appraisal service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p","This service performs background system inventory, compatibility appraisal, and maintenance used by numerous system components.","LocalSystem","Share Process"
"iphlpsvc","IP Helper","Auto","Running","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p","Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer.","LocalSystem","Share Process"
"KeyIso","CNG Key Isolation","Manual","Running","C:\WINDOWS\system32\lsass.exe","The CNG key isolation service is hosted in the LSA process. The service provides key process isolation to private keys and associated cryptographic operations as required by the Common Criteria. The service stores and uses long-lived keys in a secure process complying with Common Criteria requirements.","LocalSystem","Share Process"
"KPSSVC","KDC Proxy Server service (KPS)","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k KpsSvcGroup","KDC Proxy Server service runs on edge servers to proxy Kerberos protocol messages to domain controllers on the corporate network.","NT AUTHORITY\NetworkService","Share Process"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p","Coordinates transactions between the Distributed Transaction Coordinator (MSDTC) and the Kernel Transaction Manager (KTM). If it is not needed, it is recommended that this service remain stopped. If it is needed, both MSDTC and KTM will start this service automatically. If this service is disabled, any MSDTC transaction interacting with a Kernel Resource Manager will fail and any services that explicitly depend on it will fail to start.","NT AUTHORITY\NetworkService","Share Process"
"LanmanServer","Server","Auto","Running","C:\WINDOWS\System32\svchost.exe -k smbsvcs","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"LanmanWorkstation","Workstation","Auto","Running","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\NetworkService","Share Process"
"lfsvc","Geolocation Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","This service monitors the current location of the system and manages geofences (a geographical location with associated events).  If you turn off this service, applications will be unable to use or receive notifications for geolocation or geofences.","LocalSystem","Share Process"
"LicenseManager","Windows License Manager Service","Manual","Running","C:\WINDOWS\System32\svchost.exe -k LocalService -p","Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then content acquired through the Microsoft Store will not function properly.","NT Authority\LocalService","Share Process"
"lltdsvc","Link-Layer Topology Discovery Mapper","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalService -p","Creates a Network Map, consisting of PC and device topology (connectivity) information, and metadata describing each PC and device.  If this service is disabled, the Network Map will not function properly.","NT AUTHORITY\LocalService","Share Process"
"lmhosts","TCP/IP NetBIOS Helper","Manual","Running","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"LocalKdc","Kerberos Local Key Distribution Center","Manual","Stopped","C:\WINDOWS\System32\lsass.exe","This service enables users to log on to the local machine using the Kerberos authentication protocol. If this service is stopped, users will be unable to log on to the local machine. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"LSM","Local Session Manager","Auto","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Core Windows Service that manages local user sessions. Stopping or disabling this service will result in system instability.","LocalSystem","Share Process"
"LxpSvc","LxpSvc","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs",,"LocalSystem","Share Process"
"MapsBroker","Downloaded Maps Manager","Disabled","Stopped","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.","NT AUTHORITY\NetworkService","Own Process"
"McpManagementService","McpManagementService","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k McpManagementServiceGroup","Universal Print Management Service","LocalSystem","Own Process"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Manual","Stopped","""C:\Program Files (x86)\Microsoft\Edge\Application\122.0.2365.106\elevation_service.exe""","Keeps Microsoft Edge up to update. If this service is disabled, the application will not be kept up to date.","LocalSystem","Own Process"
"mpssvc","Windows Defender Firewall","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Windows Defender Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.","NT Authority\LocalService","Share Process"
"MSDTC","Distributed Transaction Coordinator","Auto","Running","C:\WINDOWS\System32\msdtc.exe","Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will fail. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\NetworkService","Own Process"
"MSiSCSI","Microsoft iSCSI Initiator Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manages Internet SCSI (iSCSI) sessions from this computer to remote iSCSI target devices. If this service is stopped, this computer will not be able to login or access iSCSI targets. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"msiserver","Windows Installer","Manual","Stopped","C:\WINDOWS\system32\msiexec.exe /V","Adds, modifies, and removes applications provided as a Windows Installer (*.msi, *.msp) package. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Own Process"
"NaturalAuthentication","NaturalAuthentication","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p",,"LocalSystem","Share Process"
"NcaSvc","Network Connectivity Assistant","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p","Provides DirectAccess status notification for UI components","LocalSystem","Share Process"
"NcbService","Network Connection Broker","Manual","Running","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Brokers connections that allow packaged Microsoft Store apps to receive notifications from the internet.","LocalSystem","Share Process"
"Netlogon","Netlogon","Manual","Stopped","C:\WINDOWS\system32\lsass.exe","Maintains a secure channel between this computer and the domain controller for authenticating users and services. If this service is stopped, the computer may not authenticate users and services and the domain controller cannot register DNS records. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"Netman","Network Connections","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manages objects in the Network and Dial-Up Connections folder, in which you can view both local area network and remote connections.","LocalSystem","Share Process"
"netprofm","Network List Service","Manual","Running","C:\WINDOWS\System32\svchost.exe -k netprofm -p","Identifies the networks to which the computer has connected, collects and stores properties for these networks, and notifies applications when these properties change.","NT AUTHORITY\NetworkService","Share Process"
"NetSetupSvc","Network Setup Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","The Network Setup Service manages the installation of network drivers and permits the configuration of low-level network settings.  If this service is stopped, any driver installations that are in-progress may be cancelled.","LocalSystem","Share Process"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Disabled","Stopped","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","Provides ability to share TCP ports over the net.tcp protocol.","NT AUTHORITY\LocalService","Share Process"
"NgcCtnrSvc","NgcCtnrSvc","Manual","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p",,"NT AUTHORITY\LocalService","Share Process"
"NgcSvc","NgcSvc","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p",,"LocalSystem","Share Process"
"NlaSvc","Network Location Awareness","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netprofm -p","Collects and stores configuration information for the network and notifies programs when this information is modified. If this service is stopped, configuration information might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\NetworkService","Share Process"
"nsi","Network Store Interface Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalService -p","This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled, any other services that explicitly depend on this service will fail to start.","NT Authority\LocalService","Share Process"
"PcaSvc","Program Compatibility Assistant Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","This service provides support for the Program Compatibility Assistant (PCA).  PCA monitors programs installed and run by the user and detects known compatibility problems. If this service is stopped, PCA will not function properly.","LocalSystem","Share Process"
"PerfHost","Performance Counter DLL Host","Manual","Stopped","C:\WINDOWS\SysWow64\perfhost.exe","Enables remote users and 64-bit processes to query performance counters provided by 32-bit DLLs. If this service is stopped, only local users and 32-bit processes will be able to query performance counters provided by 32-bit DLLs.","NT AUTHORITY\LocalService","Own Process"
"pla","Performance Logs & Alerts","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Performance Logs and Alerts Collects performance data from local or remote computers based on preconfigured schedule parameters, then writes the data to a log or triggers an alert. If this service is stopped, performance information will not be collected. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"PlugPlay","Plug and Play","Manual","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","LocalSystem","Share Process"
"PolicyAgent","IPsec Policy Agent","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","Internet Protocol security (IPsec) supports network-level peer authentication, data origin authentication, data integrity, data confidentiality (encryption), and replay protection.  This service enforces IPsec policies created through the IP Security Policies snap-in or the command-line tool ""netsh ipsec"".  If you stop this service, you may experience network connectivity issues if your policy requires that connections use IPsec.  Also,remote management of Windows Defender Firewall is not available when this service is stopped.","NT Authority\NetworkService","Share Process"
"Power","Power","Auto","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Manages power policy and power policy notification delivery.","LocalSystem","Share Process"
"PrintDeviceConfigurationService","Print Device Configuration Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","The Print Device Configuration Service manages the installation of IPP and UP printers. If this service is stopped, any printer installations that are in-progress may be canceled.","LocalSystem","Share Process"
"PrintScanBrokerService","PrintScanBrokerService","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides support for secure privileged operations needed by low priv spooler.","LocalSystem","Share Process"
"ProfSvc","User Profile Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p","This service is responsible for loading and unloading user profiles. If this service is stopped or disabled, users will no longer be able to successfully sign in or sign out, apps might have problems getting to users' data, and components registered to receive profile event notifications won't receive them.","LocalSystem","Share Process"
"PushToInstall","Windows PushToInstall Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Provides infrastructure support for the Microsoft Store.  This service is started automatically and if disabled then remote installations will not function properly.","LocalSystem","Share Process"
